0.5179713,1
0.5179713,1
0.43395382,0
0.5179713,1
0.43395382,0
0.5179713,1
0.6484279,1
0.6484279,1
0.43395382,0
0.6484279,1
0.6484279,1
0.6484279,1
0.6484279,1
0.5179713,1
0.43395382,0
0.5179713,1
0.5179713,1
0.6484279,1
0.6484279,1
0.43395382,0
0.6484279,1
0.43395382,0
0.75042355,1
0.43395382,0
0.5179713,1
0.6484279,1
0.75042355,1
0.4179713,0
0.43395382,0
0.43395382,0
0.43395382,0
0.6484279,1
0.6484279,1
0.43395382,0
0.4179713,0
0.43395382,0
0.6484279,1
0.43395382,0
0.6484279,1
0.43395382,0
0.4179713,0
0.45042355,0
0.6484279,1
0.43395382,0
0.5179713,1
0.43395382,0
0.43395382,0
0.43395382,0
0.4179713,0
