LSTM,lgbm,TRUE
0.14082588,0,1
0.1177859,0,1
0.3868603,1,1
0.19807315,0,1
0.09083893,1,1
0.11965175,0,1
0.40056342,1,1
0.5850641,1,1
0.39231768,1,1
0.55740654,1,1
0.45003232,1,1
0.31530118,1,1
0.31262422,1,1
0.14479297,0,1
0.16789193,1,1
0.24693927,0,1
0.07121987,0,1
0.38041973,1,1
0.3685851,1,1
0.058034066,1,1
0.38487363,1,1
0.18491097,1,1
0.586524,0,1
0.37293893,1,1
0.36283705,0,1
0.24383996,1,1
0.28207242,0,1
0.22972171,0,0
0.1980265,1,0
0.37056234,1,0
0.18631043,1,0
0.41312936,1,0
0.33094335,1,0
0.32067308,1,0
0.34017828,0,0
0.24641074,1,0
0.25338396,1,0
0.29502517,1,0
0.29886538,1,0
0.37617022,1,0
0.066483185,0,0
0.8797755,0,0
0.47064552,1,0
0.054672107,1,0
0.34197158,0,0
0.2978366,1,0
0.28998983,1,0
0.32637125,1,0
0.25377074,0,0
