LSTM,lgbm,TRUE
0.952031,0,1
0.071805395,0,1
0.77121216,1,1
0.98518604,1,1
0.959077,0,1
0.3790901,0,1
0.9940382,0,1
0.58671176,0,1
0.9313555,0,1
0.80957013,0,1
0.9930848,1,1
0.9815285,1,1
0.8228237,1,1
0.9839723,1,1
0.98710537,1,1
0.954483,1,1
0.34369048,1,1
0.93011326,1,1
0.8990481,1,1
0.92818576,1,1
0.08682435,1,1
0.9780059,1,1
0.4574382,1,1
0.43722302,0,1
0.97200453,1,1
0.9672893,1,1
0.89271027,1,1
0.9626735,0,1
0.97213167,1,1
0.87082213,1,1
0.7177228,0,1
0.9619438,1,1
0.5712374,1,1
0.9617953,1,1
0.95459306,1,1
0.97276646,1,1
0.41944486,0,1
0.94716346,1,1
0.05485472,0,1
0.034674652,0,1
0.03522639,1,1
0.10279171,1,1
0.6379887,1,1
0.21206038,1,1
0.98148984,1,1
0.37333348,1,1
0.09932042,0,1
0.8549475,0,1
0.95153546,1,1
0.009673665,0,1
0.006941283,0,1
0.9552441,0,1
0.048474565,1,1
0.120041125,0,1
0.08130364,0,1
0.77784616,1,1
0.8490327,0,1
0.93540704,0,1
0.04720542,0,1
0.038386732,1,1
0.09189809,1,1
0.9630807,0,1
0.62840575,1,1
0.32572892,0,1
0.98785186,0,1
0.95495385,1,1
0.8128179,1,1
0.20251831,1,1
0.55935514,0,1
0.21874344,0,1
0.9739726,1,1
0.9791539,1,1
0.26600248,0,1
0.19366728,0,1
0.09398884,1,1
0.8792267,0,1
0.8165295,1,1
0.5685499,1,1
0.98749894,1,1
0.024152176,0,1
0.763491,1,1
0.9893099,0,1
0.38564596,0,1
0.13004652,1,1
0.9651643,0,1
0.28441617,1,1
0.42018592,1,1
0.19632271,1,1
0.99369276,0,1
0.9925276,0,1
0.9355,0,1
0.47248998,0,1
0.9338443,0,1
0.66846156,0,1
0.986667,0,1
0.8973877,0,1
0.11615828,0,1
0.501337,1,1
0.99419135,1,1
0.89723796,1,1
0.22049403,0,1
0.006708383,0,1
0.984639,1,1
0.948717,0,1
0.9495392,0,1
0.8287001,1,1
0.96544904,1,1
0.9836285,0,1
0.19849692,0,1
0.9323826,0,1
0.19681278,1,1
0.83692706,1,1
0.39703307,0,1
0.98359895,0,1
0.9875049,1,1
0.9700233,1,1
0.9867312,1,1
0.97817767,0,1
0.99625623,1,1
0.99368286,0,1
0.95751345,1,1
0.9354902,1,1
0.8855098,1,1
0.9526278,0,1
0.94961345,1,1
0.97077626,1,1
0.8390922,0,1
0.9196905,0,1
0.9554926,0,1
0.056368064,0,1
0.7474002,0,1
0.07995612,0,1
0.024286665,0,1
0.024883168,0,1
0.93994796,0,1
0.9943644,1,1
0.994668,1,1
0.99471503,1,1
0.9959853,1,1
0.994457,0,1
0.9937995,0,1
0.96016496,0,1
0.83305895,1,1
0.82731783,0,1
0.19167651,0,1
0.18931365,0,1
0.11851777,0,1
0.049684882,1,1
0.95454603,0,1
0.063913465,0,1
0.81863254,0,1
0.09341865,0,1
0.9692331,0,1
0.97594595,0,1
0.9375071,0,1
0.9803498,0,1
0.96350455,0,1
0.99630225,1,1
0.9943309,0,1
0.8635373,1,1
0.030391393,0,1
0.99837,0,1
0.91089284,1,1
0.8164438,1,1
0.0801532,1,1
0.012890885,1,1
0.8370675,0,0
0.027315408,0,0
0.57395536,1,0
0.23144573,0,0
0.14021298,0,0
0.9133853,1,0
0.33485162,0,0
0.8621925,1,0
0.073782206,1,0
0.78143007,1,0
0.12649345,1,0
0.30158797,0,0
0.9659299,1,0
0.061518446,0,0
0.98562014,0,0
0.9924297,1,0
0.065730624,0,0
0.9914442,1,0
0.9845302,1,0
0.9821744,1,0
0.71137047,1,0
0.29183635,1,0
